strategy_name,max_drawdown_duration_days,max_drawdown_depth_dollars,max_drawdown_depth_pct
00_Baseline,18,34.15999999999076,12.155782848151238
01_Cut_Bottom_5_Pct,15,25.939999999997326,9.950891703282648
02_Cut_Bottom_10_Pct,15,28.119999999998072,9.444708115804666
03_Cut_Bottom_15_Pct,14,26.85999999999831,9.729986915665767
04_Cut_Bottom_20_Pct,10,22.699999999998454,8.285399583894353
05_Cut_Bottom_25_Pct,10,22.019999999995434,11.215743088253236
06_Cut_WR_LT_50,10,21.63999999999851,10.111692015209318
07_Cut_WR_LT_52,11,19.55999999999858,10.644418872267076
08_Cut_WR_LT_54,8,21.399999999998727,9.171244327681038
09_Keep_Top_20_Pct,9,13.379999999999654,8.921057061100818
10_Keep_Top_30_Pct,9,16.359999999999673,8.429174552336614
